Service,active_intent_accuracy,requested_slots_f1,requested_slots_precision,requested_slots_recall,slot_tagging_f1,slot_tagging_precision,slot_tagging_recall,average_goal_accuracy,average_cat_accuracy,joint_goal_accuracy,joint_cat_accuracy,joint_noncat_accuracy,average_noncat_accuracy
#ALL_SERVICES,1.0,0.974023331524688,1.0,0.974023331524688,0.9544899620184482,0.9589663591969615,0.9670204829083017,0.6088326821025313,0.6170558846751966,0.08012575963103637,0.16033640803038524,0.31726769058600107,0.6585422348484848
#SEEN_SERVICES,1.0,0.974023331524688,1.0,0.974023331524688,0.9544899620184482,0.9589663591969615,0.9670204829083017,0.6088326821025313,0.6170558846751966,0.08012575963103637,0.16033640803038524,0.31726769058600107,0.6585422348484848
attraction,1.0,0.9305480195333695,1.0,0.9305480195333695,0.9820944112859469,1.0,0.9820944112859469,0.26558432662008497,0.3819444444444444,0.6893651654910472,0.7406402604449267,0.8171459576776994,0.0
bus,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,1.0,1.0,1.0,
hospital,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,1.0,,1.0,
hotel,1.0,0.9610689093868693,1.0,0.9610689093868693,0.9713781877373847,0.9742268041237113,0.9801953336950624,0.4604105778194843,0.38423665528095907,0.499413958220293,0.5031199131850245,0.8901239962018448,0.7870165394402036
police,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,1.0,1.0,1.0,
restaurant,1.0,0.9618827997829625,1.0,0.9618827997829625,0.8095496473141617,0.8109061313076505,0.8863266413456321,0.8433848223628482,0.7753903729513485,0.4782685155317417,0.5602278893109062,0.6858247545276179,0.9231638208364266
taxi,1.0,0.9918610960390667,1.0,0.9918610960390667,0.951709169831796,0.9629679869777537,0.9556429734129137,0.6177239583333334,,0.9063408532781334,,0.9063408532781334,0.6177239583333334
train,1.0,0.946825827455236,1.0,0.946825827455236,0.9211882799782962,0.9236299511665762,0.9319045035268584,0.7925014709210229,0.826705189213687,0.31955568475311996,0.4503526858383071,0.6853606690179056,0.6581441476826395
